text@iau1978m	@iau1978m	51.45	55.21	Рената / прошу вас / расскажите / что такое вы вспоминаете из вашего творческого пути /
text@iau1978m	@iau1978m	55.57	58.11	э / что вас расстраивает // что у вас не получалось? //
text@iau1978m	@iau1978m	62.635	66.94	что у вас / не получалось дорогая Рената я не верю / что у вас что-то не получалось //
text@iau1978m	@iau1978m	83.46	87.12	#смеётся# почему я вас опоил? // ну вы попробуйте / чай как чай //
text@iau1978m	@iau1978m	91.37	92.12	Рената / дорогая... /
text@iau1978m	@iau1978m	95.08	97.41	с кем вы все разговариваете там я пытаюсь понять? вы... /
text@iau1978m	@iau1978m	97.91	98.9	почему вы не хотите? /
text@iau1978m	@iau1978m	100.44	100.765	Вот! //
text@iau1978m	@iau1978m	101.01	101.7	ну конечно! //
text@iau1978m	@iau1978m	104.57	106.62	Рената спросила / а зачем он там сидит? //
text@iau1978m	@iau1978m	106.81	107.7	ну / послушайте //
text@iau1978m	@iau1978m	108.355	110.316	никакого подвоха он привязан //
text@iau1978m	@iau1978m	111.57	112.32	никакого подвоха //
text@iau1978m	@iau1978m	113.457	118.077	нет мы думали мы много раз...  мы его двигали по всей студии он... / это идеальное место //
text@iau1978m	@iau1978m	119.229	121.09	по фен-шую мы его посадили там //
text@iau1978m	@iau1978m	133.48	137.89	что это вы / на себя наговариваете Ренат? // ну перестаньте зачем вы / говорите? // вы... /
text@iau1978m	@iau1978m	138.235	149.91	у меня ощущение что с самого начала / как только вы появились / вот сразу с этого момента все сказали / это безоговорочная звезда / это ни на кого не похожая / эээ / ы / невероятная женщина... //
text@iau1978m	@iau1978m	150.052	161.87	все сразу же были вами покорены / влюблены / и / и вы не меняетесь! // вы остаётесь такой / вы и... / и уже это / продолжается... // я не п... / не могу понять / в чём же были вот эти ваши неудачи? // когда вы себе... / смотрели в зеркало и говорили... /
text@iau1978m	@iau1978m	162.501	163.921	вот / вот / вот так вот делая... /
text@iau1978m	@iau1978m	164.21	165.23	ничего не получается /
text@iau1978m	@iau1978m	167.92	169.91	не... // не вам одной моя дорогая //
text@iau1978m	@iau1978m	173.702	176.242	нет / лучше / вам с этим / не эксперементировать //
text@iau1978m	@iau1978m	176.492	177.272	Рената/ скажите /
text@iau1978m	@iau1978m	177.502	184.32	а вы же могли не стать / э / режиссёром / э / актёром / э / с... с... сценаристом / автором... // автором /
text@iau1978m	@iau1978m	184.65	185.531	ну / ак... актрисой //
text@iau1978m	@iau1978m	186.03	186.57	эээ //
text@iau1978m	@iau1978m	196.167	197.067	кем вы хотели стать? //
text@iau1978m	@iau1978m	199.11	200.223	вы ненавидели всегда эти... //
text@iau1978m	@iau1978m	202.5	202.97	правильно //
text@iau1978m	@iau1978m	217.74	221.35	то есть толь... только режиссёров всех кретинов посчитаешь так уже и пора //
text@iau1978m	@iau1978m	231.23	231.65	м-хм //
text@iau1978m	@iau1978m	233.02	233.49	да //
text@iau1978m	@iau1978m	234.21	236.41	сама с... снять всё это / э / это безусловно //
text@iau1978m	@iau1978m	237.86	238.65	ну это же прекрасно! //
text@iau1978m	@iau1978m	240.302	240.572	да //
